label	isPartOf	subPropertyOf	equivalentProperty	subproperties	domainIncludes	rangeIncludes	inverseOf	supersedes	supersededBy	comment
grantee					DigitalDocumentPermission	Audience, ContactPoint, Organization, Person				The person, organization, contact point, or audience that has been granted this permission.
greater					QualitativeValue	QualitativeValue				This ordering relation for qualitative values indicates that the subject is greater than the object.
greaterOrEqual					QualitativeValue	QualitativeValue				This ordering relation for qualitative values indicates that the subject is greater than or equal to the object.
gtin	pending:	identifier		gtin12, gtin13, gtin14, gtin8	Demand, Offer, Product	Text, URL				"A Global Trade Item Number (<a href=""https://www.gs1.org/standards/id-keys/gtin"">GTIN</a>). GTINs identify trade items, including products and services, using numeric identification codes.<br/><br/>

The GS1 <a href=""https://www.gs1.org/standards/Digital-Link/"">digital link specifications</a> express GTINs as URLs (URIs, IRIs, etc.). Details including regular expression examples can be found in, Section 6 of the GS1 URI Syntax specification; see also <a href=""https://github.com/schemaorg/schemaorg/issues/3156#issuecomment-1209522809"">schema.org tracking issue</a> for schema.org-specific discussion. A correct <a class=""localLink"" href=""/gtin"">gtin</a> value should be a valid GTIN, which means that it should be an all-numeric string of either 8, 12, 13 or 14 digits, or a ""GS1 Digital Link"" URL based on such a string. The numeric component should also have a <a href=""https://www.gs1.org/services/check-digit-calculator"">valid GS1 check digit</a> and meet the other rules for valid GTINs. See also <a href=""http://www.gs1.org/barcodes/technical/idkeys/gtin"">GS1's GTIN Summary</a> and <a href=""https://en.wikipedia.org/wiki/Global_Trade_Item_Number"">Wikipedia</a> for more details. Left-padding of the gtin values is not required or encouraged. The <a class=""localLink"" href=""/gtin"">gtin</a> property generalizes the earlier <a class=""localLink"" href=""/gtin8"">gtin8</a>, <a class=""localLink"" href=""/gtin12"">gtin12</a>, <a class=""localLink"" href=""/gtin13"">gtin13</a>, and <a class=""localLink"" href=""/gtin14"">gtin14</a> properties.<br/><br/>

Note also that this is a definition for how to include GTINs in Schema.org data, and not a definition of GTINs in general - see the GS1 documentation for authoritative details."
gtin12		gtin, identifier			Demand, Offer, Product	Text				"The GTIN-12 code of the product, or the product to which the offer refers. The GTIN-12 is the 12-digit GS1 Identification Key composed of a U.P.C. Company Prefix, Item Reference, and Check Digit used to identify trade items. See <a href=""http://www.gs1.org/barcodes/technical/idkeys/gtin"">GS1 GTIN Summary</a> for more details."
gtin13		gtin, identifier			Demand, Offer, Product	Text				"The GTIN-13 code of the product, or the product to which the offer refers. This is equivalent to 13-digit ISBN codes and EAN UCC-13. Former 12-digit UPC codes can be converted into a GTIN-13 code by simply adding a preceding zero. See <a href=""http://www.gs1.org/barcodes/technical/idkeys/gtin"">GS1 GTIN Summary</a> for more details."
gtin14		gtin, identifier			Demand, Offer, Product	Text				"The GTIN-14 code of the product, or the product to which the offer refers. See <a href=""http://www.gs1.org/barcodes/technical/idkeys/gtin"">GS1 GTIN Summary</a> for more details."
gtin8		gtin, identifier			Demand, Offer, Product	Text				"The GTIN-8 code of the product, or the product to which the offer refers. This code is also known as EAN/UCC-8 or 8-digit EAN. See <a href=""http://www.gs1.org/barcodes/technical/idkeys/gtin"">GS1 GTIN Summary</a> for more details."
guideline					MedicalEntity	MedicalGuideline				A medical guideline related to this entity.
guidelineDate					MedicalGuideline	Date				Date on which this guideline's recommendation was made.
guidelineSubject					MedicalGuideline	MedicalEntity				The medical conditions, treatments, etc. that are the subject of the guideline.
handlingTime	pending:				ShippingDeliveryTime	QuantitativeValue				"The typical delay between the receipt of the order and the goods either leaving the warehouse or being prepared for pickup, in case the delivery method is on site pickup. Typical properties: minValue, maxValue, unitCode (d for DAY).  This is by common convention assumed to mean business days (if a unitCode is used, coded as ""d""), i.e. only counting days when the business normally operates."
hasAdultConsideration	pending:				Offer, Product	AdultOrientedEnumeration				Used to tag an item to be intended or suitable for consumption or use by adults only.
hasBioChemEntityPart	pending:				BioChemEntity	BioChemEntity	isPartOfBioChemEntity			Indicates a BioChemEntity that (in some sense) has this BioChemEntity as a part.
hasBioPolymerSequence	pending:	hasRepresentation			Gene, Protein	Text				A symbolic representation of a BioChemEntity. For example, a nucleotide sequence of a Gene or an amino acid sequence of a Protein.
hasBroadcastChannel					BroadcastService	BroadcastChannel	providesBroadcastService			A broadcast channel of a broadcast service.
hasCategoryCode	pending:	hasDefinedTerm			CategoryCodeSet	CategoryCode				A Category code contained in this code set.
hasCourse	pending:				EducationalOccupationalProgram	Course				"A course or class that is one of the learning opportunities that constitute an educational / occupational program. No information is implied about whether the course is mandatory or optional; no guarantee is implied about whether the course will be available to everyone on the program."
hasCourseInstance					Course	CourseInstance				An offering of the course at a specific time and place or through specific media or mode of study or to a specific section of students.
hasCredential	pending:				Organization, Person	EducationalOccupationalCredential				A credential awarded to the Person or Organization.
hasDefinedTerm	pending:			hasCategoryCode	DefinedTermSet, Taxon	DefinedTerm				A Defined Term contained in this term set.
hasDeliveryMethod					DeliveryEvent, ParcelDelivery	DeliveryMethod				Method used for delivery or shipping.
hasDigitalDocumentPermission					DigitalDocument	DigitalDocumentPermission				"A permission related to the access to this document (e.g. permission to read or write an electronic document). For a public document, specify a grantee with an Audience with audienceType equal to ""public""."
hasDriveThroughService	pending:				Place	Boolean				"Indicates whether some facility (e.g. <a class=""localLink"" href=""/FoodEstablishment"">FoodEstablishment</a>, <a class=""localLink"" href=""/CovidTestingFacility"">CovidTestingFacility</a>) offers a service that can be used by driving through in a car. In the case of <a class=""localLink"" href=""/CovidTestingFacility"">CovidTestingFacility</a> such facilities could potentially help with social distancing from other potentially-infected users."
hasEnergyConsumptionDetails	pending:				Product	EnergyConsumptionDetails				"Defines the energy efficiency Category (also known as ""class"" or ""rating"") for a product according to an international energy efficiency standard."
hasEnergyEfficiencyCategory	pending:				EnergyConsumptionDetails	EnergyEfficiencyEnumeration				Defines the energy efficiency Category (which could be either a rating out of range of values or a yes/no certification) for a product according to an international energy efficiency standard.
hasHealthAspect	pending:				HealthTopicContent	HealthAspectEnumeration				"Indicates the aspect or aspects specifically addressed in some <a class=""localLink"" href=""/HealthTopicContent"">HealthTopicContent</a>. For example, that the content is an overview, or that it talks about treatment, self-care, treatments or their side-effects."
hasMap					Place	Map, URL		map, maps		A URL to a map of the place.
hasMeasurement	pending:				Offer, Product, SizeSpecification	QuantitativeValue				A product measurement, for example the inseam of pants, the wheel size of a bicycle, or the gauge of a screw. Usually an exact measurement, but can also be a range of measurements for adjustable products, for example belts and ski bindings.
